2018.11.14 20:40:57	 0KB	 0KB
2018.11.14 20:40:58	 0KB	 0KB
2018.11.14 20:40:59	 1KB	 0KB
2018.11.14 20:41:00	 2KB	 1KB
2018.11.14 20:41:01	 3KB	 2KB
2018.11.14 20:41:02	 2KB	 0KB
2018.11.14 20:41:03	 0KB	 0KB
2018.11.14 20:41:04	 0KB	 0KB
2018.11.14 20:41:05	 0KB	 0KB
2018.11.14 20:41:06	 4KB	 1KB
2018.11.14 20:41:07	 1KB	 33KB
2018.11.14 20:41:08	 2KB	 0KB
2018.11.14 20:41:09	 0KB	 0KB
2018.11.14 20:41:10	 1KB	 5KB
2018.11.14 20:41:11	 2KB	 0KB
2018.11.14 20:41:12	 0KB	 0KB
2018.11.14 20:41:13	 0KB	 0KB
2018.11.14 20:41:14	 0KB	 0KB
2018.11.14 20:41:15	 0KB	 0KB
2018.11.14 20:41:16	 3KB	 0KB
2018.11.14 20:41:17	 2KB	 0KB
2018.11.14 20:41:18	 0KB	 0KB
2018.11.14 20:41:19	 0KB	 0KB
2018.11.14 20:41:20	 0KB	 0KB
2018.11.14 20:41:21	 0KB	 0KB
2018.11.14 20:41:22	 2KB	 0KB
2018.11.14 20:41:23	 0KB	 0KB
2018.11.14 20:41:24	 0KB	 0KB
2018.11.14 20:41:25	 0KB	 1KB
2018.11.14 20:41:26	 0KB	 0KB
2018.11.14 20:41:27	 2KB	 0KB
2018.11.14 20:41:28	 2KB	 15KB
2018.11.14 20:41:29	 1KB	 0KB
2018.11.14 20:41:30	 0KB	 0KB
2018.11.14 20:41:31	 0KB	 0KB
2018.11.14 20:41:32	 0KB	 0KB
2018.11.14 20:41:33	 2KB	 0KB
2018.11.14 20:41:34	 0KB	 0KB
2018.11.14 20:41:35	 1KB	 0KB
2018.11.14 20:41:36	 0KB	 0KB
2018.11.14 20:41:37	 0KB	 0KB
2018.11.14 20:41:38	 2KB	 0KB
2018.11.14 20:41:39	 0KB	 0KB
2018.11.14 21:07:02	 54KB	 43KB
